mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5.909028609593709,0.18694763249998297,0.5568183263142904,0.05080086618704451,,sqrt,1,2,120,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.7884278199883109,0.7834749487254614,0.8004613610149942,0.7907880432429222,0.007132673223796884,4,0.9966059082338152,0.9967336683417085,0.9958558332286827,0.9963984699347354,0.00038723085910010726
10.07636284828186,0.27799083290058607,0.7625198364257812,0.03826035211893118,,sqrt,1,2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7888726207906296,0.7862393413701853,0.8011527377521613,0.7920882333043253,0.006499101003993406,3,0.9964824120603015,0.9967336683417085,0.9957329317269076,0.9963163373763059,0.0004250913968775818
6.303720076878865,0.71114335196973,0.5897610187530518,0.16746138545017916,,sqrt,1,10,120,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 120}",0.7669021190716448,0.7685255920550038,0.7656749446766659,0.7670342186011049,0.001167514548993981,18,0.9305820610687023,0.933508729968907,0.9243557772236076,0.9294821894204056,0.003816754661704624
10.141316652297974,0.038900961095189056,0.8028752009073893,0.04756133215944403,,sqrt,1,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7682555780933062,0.7694656488549618,0.765748031496063,0.7678230861481103,0.0015482154606279316,16,0.9316606929510155,0.9331263434439934,0.9282991900905193,0.9310287421618427,0.0020207051119911956
5.397816737492879,0.5269742106988483,0.584147055943807,0.14469180427209943,,sqrt,4,2,120,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.7487497023100739,0.7462971810797898,0.747850336974204,0.7476324067880226,0.001013026906778331,27,0.8759208103130756,0.8808182967475003,0.8742239595309267,0.8769876888638342,0.002795829419334416
10.20494810740153,0.2316501053959602,0.6933637460072836,0.04164623873482952,,sqrt,4,2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.750835322195704,0.7510223719028145,0.7476722532588455,0.749843315785788,0.001537071082752984,25,0.8797227036395148,0.8825023084025854,0.8756333486872409,0.8792861202431137,0.002821182457678138
5.9526894092559814,0.9848710638744658,0.4150380293528239,0.019781771932086727,,sqrt,4,10,120,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 120}",0.7441204139228599,0.7475177304964539,0.7472477064220183,0.7462952836137774,0.001541811030260043,29,0.8654810761513908,0.8679288321167883,0.8618922919275874,0.8651007333985888,0.0024790387681742037
10.066099643707275,0.20055785524412742,0.6830762227376302,0.04597849024570972,,sqrt,4,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7475224162340727,0.7506536724506775,0.7449355432780848,0.7477038773209449,0.0023379401764731097,26,0.8668490652074783,0.8734815493926198,0.8648648648648649,0.8683984931549876,0.003684413864384667
11.839319944381714,0.1829112687190193,0.38574997584025067,0.047453200246895345,,0.7,1,2,120,"{'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.7885346592570928,0.7868467410452143,0.8035036496350365,0.7929616833124479,0.007486078520936599,2,0.9966059082338152,0.9967336683417085,0.9956068783732899,0.9963154849829379,0.000503767907354071
20.018122673034668,0.5921218325542135,0.7812544504801432,0.15255785844846442,,0.7,1,2,200,"{'classifier__max_depth': None, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7886416861826698,0.7862393413701853,0.8045640725570509,0.7931483667033019,0.008131484909658478,1,0.9964824120603015,0.9967336683417085,0.9957329317269076,0.9963163373763059,0.0004250913968775818
