Metric,Score,Percentage
Accuracy,0.9693333333333334,96.93333333333334
Precision,0.9492833517089305,94.92833517089305
Recall,0.6752941176470588,67.52941176470588
F1-score,0.7891842346471127,78.91842346471127
ROC-AUC,0.9659330404657308,96.59330404657308
Average Precision,0.8563506637478148,85.63506637478147
