Threshold,Precision,Recall,F1-score,Accuracy
0.2,0.6518615284128021,0.7827450980392157,0.7113328581610834,0.946
0.25,0.7298720842738902,0.7607843137254902,0.7450076804915514,0.9557333333333333
0.3,0.7991525423728814,0.7396078431372549,0.7682281059063136,0.9620666666666666
0.35,0.8495821727019499,0.7176470588235294,0.7780612244897959,0.9652
0.4,0.8941532258064516,0.6956862745098039,0.7825319805910895,0.9671333333333333
0.45,0.9216101694915254,0.6823529411764706,0.7841369986480397,0.9680666666666666
0.5,0.9473106476399561,0.6768627450980392,0.7895699908508692,0.9693333333333334
0.55,0.9630044843049327,0.6737254901960784,0.7928011075219197,0.9700666666666666
0.6,0.9771428571428571,0.6705882352941176,0.7953488372093023,0.9706666666666667
0.65,0.9918414918414918,0.6674509803921569,0.7979371776840132,0.9712666666666666
0.7,0.9953161592505855,0.6666666666666666,0.7984969469234382,0.9714
0.75,0.9988221436984688,0.6650980392156862,0.7984934086629002,0.9714666666666667
0.8,1.0,0.6650980392156862,0.7988695242581253,0.9715333333333334
