Model,Hyperparameters,Role
Logistic Regression,"C=1.0, max_iter=1000, class_weight='balanced'",Interpretable linear baseline
Decision Tree,"max_depth=8, min_samples_leaf=20, class_weight='balanced'",Simple nonlinear baseline
Random Forest,"n_estimators=120, random_state=42, class_weight='balanced'",Current production family
Gradient Boosting,"n_estimators=120, learning_rate=0.05, max_depth=3",Boosted-tree comparison
Extra Trees,"n_estimators=200, class_weight='balanced'",Randomized-tree comparison
