Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Average Precision,Training Time (s)
Gradient Boosting,0.9732,0.9943374858437146,0.6886274509803921,0.8137164040778498,0.9791846280224293,0.8872791472143036,8.208653586000082
Random Forest,0.9704,0.9323621227887617,0.7027450980392157,0.8014311270125224,0.9658161505768064,0.8632590616635825,4.450164060000134
Extra Trees,0.9670666666666666,0.8980632008154944,0.6909803921568628,0.7810283687943262,0.9556733311903998,0.8275140110710238,7.704486201999998
Logistic Regression,0.8892666666666666,0.4270597127739985,0.8862745098039215,0.5763835756184646,0.9640297153469768,0.8230557985367456,0.20592182399991543
Decision Tree,0.8775333333333334,0.4046164290563476,0.9349019607843138,0.5647950722577588,0.9761975784849459,0.8615950649772302,0.24853002800000468
