,precision,recall,f1-score,support
Non-diabetic,0.9706237139005179,0.9966484517304189,0.9834639442087857,13725.0
Diabetic,0.9492833517089305,0.6752941176470588,0.7891842346471127,1275.0
accuracy,0.9693333333333334,0.9693333333333334,0.9693333333333334,0.9693333333333334
macro avg,0.9599535328047242,0.8359712846887388,0.8863240894279492,15000.0
weighted avg,0.968809783114233,0.9693333333333334,0.9669501688960433,15000.0
