,precision,recall,f1-score,support
diabetes_question,1.0,0.8285714285714286,0.90625,70.0
facility_search,1.0,0.98,0.98989898989899,100.0
general_health,0.9952023988005997,1.0,0.997595431319507,3319.0
medication,0.9967266775777414,0.9934747145187602,0.9950980392156863,613.0
accuracy,0.9956118966357874,0.9956118966357874,0.9956118966357874,0.9956118966357874
macro avg,0.9979822690945852,0.9505115357725472,0.9722106151085459,4102.0
weighted avg,0.9956290138894065,0.9956118966357874,0.99547580048234,4102.0
