Model,Top-1 Accuracy (%),Top-3 Accuracy (%),Top-5 Accuracy (%),MRR,Average Response Time (ms),Index Build Time (s),Selection Score
Sentence-BERT MPNet,68.8,85.8,90.4,0.7769666666666667,41.442899459999815,21.270265826000013,77.83597534413333
Sentence-BERT MiniLM,67.0,86.2,90.0,0.7666,17.958385987999126,7.717723267999986,77.48383228024002
CountVectorizer + Cosine,49.0,67.80000000000001,77.60000000000001,0.5956666666666667,4.411608267998986,0.18362495700000636,60.80010116797335
TF-IDF + Cosine,46.0,66.2,77.4,0.5734666666666667,2.969485694000923,0.15334553600001755,58.847943619453325
